Deal Stage <DEAL dealstage>,Pipeline <DEAL pipeline>,Deal Name <DEAL dealname>,Amount <DEAL amount>,Close Date <DEAL closedate>,Company name <COMPANY name>,Company Domain Name <COMPANY domain>,Note body <NOTE hs_note_body>,Activity date <NOTE hs_timestamp>
closedwon,default,Northstar Logistics - Hiring Assessment Suite,54000,01/12/2024,Northstar Logistics,northstarlogistics.com,"Discovery call with Sarah Mitchell VP of Talent Acquisition. They are currently comparing us with HackerRank but our broader assessment coverage beyond coding was a strong differentiator. Budget pre-approved at 60K. Strong champion in Sarah.",12/01/2023
closedwon,default,Northstar Logistics - Hiring Assessment Suite,54000,01/12/2024,Northstar Logistics,northstarlogistics.com,"Deal closed at 54K with volume discount negotiated. Sarah championed internally to the CHRO. Customer reference from Crestview Financial helped seal the deal. Excellent win.",01/10/2024
closedlost,default,BlueRidge Capital - Talent Screening Tool,31000,01/25/2024,BlueRidge Capital,blueridgecapital.com,"Lost to HackerRank. Prospect said our platform is too broad and overkill for their team. They only need coding assessments. Pricing per candidate was 2x what they currently pay. Tried discounting but could not match HackerRank price.",01/20/2024
closedwon,default,Meridian Healthcare - Interview Automation,97000,02/08/2024,Meridian Healthcare,meridianhealth.com,"Strong demo. CHRO personally attended. They require native Workday integration and our Workday connector satisfied the requirement. No competitor in the mix. Implementation timeline was a concern but resolved.",01/15/2024
closedwon,default,Meridian Healthcare - Interview Automation,97000,02/08/2024,Meridian Healthcare,meridianhealth.com,"Contract signed. They initially worried about AI bias in assessments but our third-party fairness audit resolved the concern. Budget approved by CFO. Smooth close.",02/05/2024
closedlost,default,Oakwood Retail Group - Skills Evaluation,43000,02/19/2024,Oakwood Retail Group,oakwoodretail.com,"Deal lost. New VP of TA joined last month and wants to re-evaluate all vendors. Previous champion Raj left the company. Deal put on hold indefinitely. No timeline for revisit. Champion risk was the critical issue.",02/15/2024
closedwon,default,Crestview Financial - Workforce Analytics,138000,03/04/2024,Crestview Financial,crestviewfinancial.com,"Executive sponsor is the CHRO. They evaluated Eightfold AI but found our skills intelligence layer more comprehensive for their needs. Budget was pre-allocated for their skills transformation initiative.",01/20/2024
closedwon,default,Crestview Financial - Workforce Analytics,138000,03/04/2024,Crestview Financial,crestviewfinancial.com,"Pricing discussion completed. Prospect pushed for 20% discount on 3-year deal. We agreed to 15% off. Strong ROI case helped with projected savings on bad hires annually. Deal closed.",03/01/2024
closedlost,default,Pinnacle Software - Coding Assessment,26000,03/15/2024,Pinnacle Software,pinnaclesoftware.io,"Lost to Codility. They only need developer coding tests and have no interest in the full platform. Codility offered free proctoring bundled in. We could not compete on price for a point solution. Requirement mismatch.",03/10/2024
closedwon,default,Harborview Bank - Full Talent Platform,225000,03/28/2024,Harborview Bank,harborviewbank.com,"Largest deal this quarter. Evaluating full platform for 5000 annual hires. Competing with HireVue for video interview and Mercer Mettl for assessments. Our bundled platform approach is the key differentiator versus managing two vendors.",02/05/2024
